"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_10","left lever","exit",11,"C","left paw",2.39789527279837,1,"ipsi",0
"squirrel_6","left lever","no reaction",311,"C","both paws",5.73979291217923,1,"both",0
"squirrel_6","left lever","no reaction",312,"C","left paw",5.74300318780948,1,"ipsi",0
"squirrel_6","left lever","no reaction",313,"C","both paws",5.74620319054015,1,"both",0
"squirrel_6","left lever","no reaction",314,"C","left paw",5.74939298590825,1,"ipsi",0
"squirrel_6","left lever","no reaction",315,"C","both paws",5.75257263882563,1,"both",0
"squirrel_6","left lever","no reaction",316,"C","left paw",5.75574221358691,0,"ipsi",0
"squirrel_6","left lever","no reaction",317,"C","both paws",5.75890177387728,1,"both",0
"squirrel_6","left lever","no reaction",318,"C","both paws",5.76205138278018,2,"both",0
"squirrel_6","left lever","no reaction",319,"C","both paws",5.76519110278484,1,"both",0
"squirrel_6","left lever","no reaction",320,"C","left paw",5.76832099579377,0,"ipsi",0
"squirrel_6","left lever","no reaction",321,"C","both paws",5.77144112313002,2,"both",0
"squirrel_8","left lever","exit",69,"C","left paw",4.23410650459726,7,"ipsi",0
"squirrel_6","left lever","no reaction",322,"C","both paws",5.77455154554441,1,"both",0
"squirrel_6","left lever","no reaction",323,"C","left paw",5.77765232322266,1,"ipsi",0
"squirrel_6","left lever","no reaction",324,"C","right paw",5.78074351579233,1,"contra",0
"squirrel_6","left lever","no reaction",325,"C","both paws",5.78382518232974,1,"both",0
"squirrel_6","left lever","no reaction",326,"C","both paws",5.78689738136671,1,"both",0
"squirrel_6","left lever","no reaction",327,"C","both paws",5.78996017089725,1,"both",0
"squirrel_8","left lever","exit",70,"C","right paw",4.24849524204936,3,"contra",0
"squirrel_6","left lever","no reaction",328,"C","left paw",5.79301360838414,1,"ipsi",0
"squirrel_6","left lever","no reaction",329,"C","both paws",5.79605775076537,1,"both",0
"squirrel_6","left lever","no reaction",330,"C","both paws",5.79909265446053,1,"both",0
"squirrel_6","left lever","no reaction",331,"C","both paws",5.80211837537706,1,"both",0
"squirrel_6","left lever","no reaction",332,"C","both paws",5.80513496891649,1,"both",0
"squirrel_6","left lever","no reaction",333,"C","both paws",5.80814248998044,1,"both",0
"squirrel_8","left lever","no reaction",71,"C","left paw",4.26267987704132,5,"ipsi",0
"squirrel_8","left lever","no reaction",72,"C","left paw",4.27666611901606,1,"ipsi",0
"squirrel_6","left lever","no reaction",334,"C","both paws",5.8111409929767,1,"both",0
"squirrel_6","left lever","no reaction",335,"C","both paws",5.81413053182507,1,"both",0
"squirrel_6","left lever","no reaction",336,"C","both paws",5.8171111599632,2,"both",0
"squirrel_6","left lever","no reaction",337,"C","both paws",5.82008293035236,1,"both",0
"squirrel_6","left lever","no reaction",338,"C","both paws",5.82304589548302,1,"both",0
"squirrel_8","left lever","flinch",73,"C","both paws",4.29045944114839,3,"both",0
"squirrel_6","left lever","no reaction",339,"C","both paws",5.82600010738045,1,"both",0
"squirrel_6","right lever","no reaction",340,"C","right paw",5.82894561761021,2,"ipsi",0
"squirrel_6","left lever","no reaction",341,"C","both paws",5.83188247728352,1,"both",0
"squirrel_6","left lever","no reaction",342,"C","right paw",5.8348107370626,1,"contra",0
"squirrel_6","left lever","no reaction",343,"C","both paws",5.83773044716594,3,"both",0
"squirrel_6","left lever","no reaction",344,"C","right paw",5.8406416573734,1,"contra",0
"squirrel_6","left lever","no reaction",345,"C","both paws",5.84354441703136,1,"both",0
"squirrel_6","left lever","no reaction",346,"C","both paws",5.84643877505772,1,"both",0
"squirrel_6","left lever","no reaction",347,"C","both paws",5.84932477994686,1,"both",0
"squirrel_6","left lever","no reaction",348,"C","both paws",5.85220247977447,1,"both",0
"squirrel_6","left lever","no reaction",349,"C","right paw",5.85507192220243,1,"contra",0
"squirrel_6","left lever","no reaction",350,"C","left paw",5.85793315448346,0,"ipsi",0
"squirrel_6","left lever","no reaction",351,"C","left paw",5.86078622346587,1,"ipsi",0
"squirrel_6","left lever","no reaction",352,"C","both paws",5.8636311755981,2,"both",0
"squirrel_6","left lever","no reaction",353,"C","left paw",5.8664680569333,1,"ipsi",0
"squirrel_6","left lever","no reaction",354,"C","right paw",5.86929691313377,1,"contra",0
"squirrel_6","left lever","no reaction",355,"C","both paws",5.87211778947542,1,"both",0
"squirrel_10","left lever","exit",12,"C","both paws",2.484906649788,9,"both",0
"squirrel_6","left lever","no reaction",356,"C","left paw",5.87493073085203,1,"ipsi",0
"squirrel_6","left lever","no reaction",357,"C","both paws",5.87773578177964,1,"both",0
"squirrel_6","left lever","no reaction",358,"C","left paw",5.8805329864007,1,"ipsi",0
"squirrel_6","left lever","no reaction",359,"C","left paw",5.88332238848828,2,"ipsi",0
"squirrel_6","left lever","no reaction",360,"C","right paw",5.88610403145016,2,"contra",0
"squirrel_6","left lever","no reaction",361,"C","both paws",5.88887795833288,1,"both",0
"squirrel_19","left lever","no reaction",117,"C","both paws",4.76217393479776,2,"both",0
"squirrel_6","left lever","no reaction",362,"C","both paws",5.89164421182577,1,"both",0
"squirrel_6","left lever","no reaction",363,"C","both paws",5.89440283426485,1,"both",1
"squirrel_19","left lever","no reaction",118,"C","left paw",4.77068462446567,1,"ipsi",0
"squirrel_6","left lever","no reaction",364,"C","both paws",5.89715386763674,1,"both",0
"squirrel_6","left lever","no reaction",365,"C","both paws",5.89989735358249,1,"both",0
