"Subject","cumulative_visits","solves_per_visit","latency_to_first_solve","consumption","total_time_present","age","sex","con_pres","log_cumulative_visits"
"squirrel_23",7,1,1.59999999999991,1,10.4000000000001,"A","F",1,1.94591014905531
"squirrel_23",8,2,0.932999999999993,1,7.73299999999995,"A","F",1,2.07944154167984
"squirrel_23",9,1,0.0999999999999091,1,2.70000000000005,"A","F",1,2.19722457733622
"squirrel_23",10,0,NA,0,3.20000000000005,"A","F",1,2.30258509299405
"squirrel_23",11,1,4,1,21.9389999999999,"A","F",1,2.39789527279837
"squirrel_29",1,0,NA,1,30.733,"A","M",0,0
"squirrel_29",2,0,NA,1,55.366,"A","M",1,0.693147180559945
"squirrel_29",3,0,NA,0,25.433,"A","M",1,1.09861228866811
"squirrel_29",4,1,49.3320000000001,1,49.632,"A","M",0,1.38629436111989
"squirrel_29",5,1,27.534,1,27.867,"A","M",0,1.6094379124341
"squirrel_29",6,1,7.166,1,55.433,"A","M",0,1.79175946922805
"squirrel_29",7,0,NA,0,24.9,"A","M",0,1.94591014905531
"squirrel_29",8,0,NA,0,8.267,"A","M",0,2.07944154167984
"squirrel_29",9,3,23.272,1,35.672,"A","M",1,2.19722457733622
"squirrel_29",10,2,37.673,1,19.64,"A","M",0,2.30258509299405
"squirrel_29",11,6,51.905,1,61.7719999999999,"A","M",0,2.39789527279837
"squirrel_29",12,0,NA,1,63.3390000000002,"A","M",0,2.484906649788
"squirrel_29",13,1,3.33400000000006,0,3.79999999999995,"A","M",0,2.56494935746154
"squirrel_29",14,2,16.2329999999999,1,31.4659999999999,"A","M",0,2.63905732961526
"squirrel_29",15,0,NA,1,78.472,"A","M",0,2.70805020110221
"squirrel_29",16,3,61.3729999999998,1,175.212,"A","M",1,2.77258872223978
"squirrel_29",17,4,23.105,1,226.242,"A","M",0,2.83321334405622
"squirrel_29",18,0,NA,0,19.367,"A","M",0,2.89037175789616
"squirrel_29",19,0,NA,0,10.2329999999999,"A","M",0,2.94443897916644
"squirrel_29",20,0,NA,0,7.20000000000005,"A","M",0,2.99573227355399
"squirrel_15",1,0,NA,1,113.471,"P","F",0,0
"squirrel_15",2,0,NA,0,13.967,"P","F",0,0.693147180559945
"squirrel_15",3,0,NA,0,63.766,"P","F",0,1.09861228866811
"squirrel_15",4,0,NA,1,82.472,"P","F",0,1.38629436111989
"squirrel_15",5,0,NA,0,54.272,"P","F",0,1.6094379124341
"squirrel_15",6,0,NA,0,45.806,"P","F",0,1.79175946922805
"squirrel_15",7,0,NA,0,12.373,"P","F",0,1.94591014905531
"squirrel_15",8,0,NA,0,5,"P","F",1,2.07944154167984
"squirrel_15",9,0,NA,0,5.36699999999996,"P","F",1,2.19722457733622
"squirrel_15",10,0,NA,0,11.5999999999999,"P","F",1,2.30258509299405
"squirrel_15",11,0,NA,0,2.26700000000005,"P","F",1,2.39789527279837
"squirrel_16",1,0,NA,0,6,"A","M",1,0
"squirrel_21",1,0,NA,1,44.9,"A","M",0,0
"squirrel_21",2,0,NA,0,3.13299999999998,"A","M",0,0.693147180559945
"squirrel_21",3,0,NA,0,9.29999999999995,"A","M",0,1.09861228866811
"squirrel_21",4,0,NA,1,32.766,"A","M",1,1.38629436111989
"squirrel_21",5,0,NA,0,14.9669999999999,"A","M",1,1.6094379124341
"squirrel_21",6,2,64.6659999999999,0,5,"A","M",1,1.79175946922805
"squirrel_21",7,0,NA,1,156.371,"A","M",1,1.94591014905531
"squirrel_21",8,1,134.732,1,73.1600000000001,"A","M",1,2.07944154167984
"squirrel_21",9,1,51.499,1,51.6659999999999,"A","M",1,2.19722457733622
"squirrel_21",10,0,NA,1,21.366,"A","M",1,2.30258509299405
"squirrel_23",1,7,2.57299999999998,1,84.972,"A","F",0,0
"squirrel_23",2,2,5.23400000000004,1,65.351,"A","F",0,0.693147180559945
"squirrel_23",3,0,NA,0,2.60000000000002,"A","F",0,1.09861228866811
"squirrel_23",4,0,NA,0,2.69999999999993,"A","F",1,1.38629436111989
"squirrel_23",5,15,1.5,1,146.937,"A","F",1,1.6094379124341
"squirrel_29",1,0,NA,0,56.639,"A","M",0,0
"squirrel_29",2,0,NA,1,103.099,"A","M",1,0.693147180559945
"squirrel_29",3,0,NA,0,13.867,"A","M",0,1.09861228866811
"squirrel_29",4,0,NA,0,5.83299999999997,"A","M",0,1.38629436111989
"squirrel_29",5,0,NA,0,13.5,"A","M",0,1.6094379124341
"squirrel_29",6,0,NA,0,8.33299999999997,"A","M",0,1.79175946922805
"squirrel_29",7,0,NA,0,43.066,"A","M",0,1.94591014905531
"squirrel_29",8,2,80.951,1,140.717,"A","M",0,2.07944154167984
"squirrel_29",9,0,NA,0,5.83300000000008,"A","M",0,2.19722457733622
"squirrel_29",10,0,NA,0,6.23399999999992,"A","M",1,2.30258509299405
"squirrel_15",1,0,NA,1,32.772,"P","F",1,0
"squirrel_15",2,0,NA,0,13.7659999999998,"P","F",1,0.693147180559945
"squirrel_16",1,0,NA,0,12.7669999999999,"A","M",1,0
"squirrel_21",1,0,NA,0,5,"A","M",0,0
"squirrel_21",2,2,93.6049999999999,1,106.812,"A","M",0,0.693147180559945
"squirrel_21",3,1,94.032,0,94.5650000000001,"A","M",0,1.09861228866811
"squirrel_21",4,0,NA,0,36.106,"A","M",0,1.38629436111989
"squirrel_21",5,0,NA,1,106.999,"A","M",0,1.6094379124341
"squirrel_21",6,0,NA,0,3.66599999999994,"A","M",0,1.79175946922805
"squirrel_21",7,0,NA,1,11.6339999999999,"A","M",0,1.94591014905531
"squirrel_29",1,0,NA,0,19,"A","M",1,0
"squirrel_21",1,0,NA,1,61.633,"A","M",0,0
"squirrel_21",2,0,NA,0,3.233,"A","M",0,0.693147180559945
"squirrel_29",1,1,8.707,0,8.973,"A","M",0,0
"squirrel_29",2,0,NA,1,19.233,"A","M",0,0.693147180559945
"squirrel_29",3,0,NA,0,2,"A","M",0,1.09861228866811
"squirrel_29",4,0,NA,0,26.5,"A","M",0,1.38629436111989
"squirrel_29",5,0,NA,0,1.273,"A","M",0,1.6094379124341
"squirrel_21",1,2,37.94,1,38.773,"A","M",0,0
"squirrel_21",2,1,14.733,0,15.366,"A","M",0,0.693147180559945
"squirrel_21",3,1,33.4,1,33.933,"A","M",0,1.09861228866811
"squirrel_21",4,0,NA,1,47.167,"A","M",0,1.38629436111989
"squirrel_21",5,0,NA,1,26.999,"A","M",0,1.6094379124341
"squirrel_21",6,1,13.333,1,39.333,"A","M",0,1.79175946922805
"squirrel_21",7,0,NA,0,7.44,"A","M",0,1.94591014905531
"squirrel_21",8,1,3.40699999999998,1,21.973,"A","M",0,2.07944154167984
"squirrel_21",9,0,NA,0,8.19999999999999,"A","M",0,2.19722457733622
"squirrel_21",10,2,10.54,1,52.073,"A","M",0,2.30258509299405
